tone,b,b_chin,b_cheek,a,a_chin,a_cheek,l,L_chin,L_cheek,v,v_chin,v_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
1,9.86,10.65,9.73,8.17,4.95,6.97,74.28,62.68,86.34,80.39,65.88,92.94,19.51,20.83,16.46,18.0,25.71,20.0
1,13.24,3.03,1.0,8.63,9.76,5.85,62.44,78.15,86.22,68.63,83.92,89.41,26.86,12.62,7.02,21.7,357.78,352.5
1,6.45,12.01,9.1,3.77,8.88,8.76,77.23,48.76,65.8,79.61,54.12,71.37,11.82,30.43,20.88,22.5,20.0,15.79
1,21.51,12.49,14.9,18.56,14.33,16.74,72.66,66.11,77.59,87.84,76.08,90.98,37.5,28.35,28.88,17.86,13.09,13.43
1,5.31,9.67,8.98,5.54,7.76,7.5,88.05,75.65,77.04,92.55,81.57,82.75,10.59,18.75,17.54,14.4,18.46,17.84
1,-8.12,2.61,0.14,13.2,8.67,6.51,79.74,78.61,88.13,84.71,83.53,91.76,12.04,11.27,7.26,306.92,357.5,345.88
1,1.28,4.14,3.56,11.07,11.14,11.13,80.96,75.57,81.03,87.45,82.35,88.24,13.0,14.76,13.78,349.66,0.0,358.06
1,3.72,3.67,3.07,8.63,7.02,9.89,81.18,81.53,86.85,86.67,85.88,93.73,11.76,10.5,11.72,2.31,5.22,357.86
1,8.08,8.83,9.51,6.81,7.36,7.61,81.59,82.82,81.09,87.06,89.02,87.45,15.32,16.3,17.49,17.65,17.84,18.46
1,0.98,4.87,0.55,5.78,10.19,9.07,91.53,84.1,90.15,95.29,91.37,96.08,6.58,13.73,9.8,352.5,3.75,347.5
1,0.83,2.81,2.37,2.37,6.19,5.03,90.42,77.68,83.21,91.37,80.78,85.88,3.0,9.22,7.31,0.0,3.16,3.75
1,-0.01,10.28,7.86,4.56,8.18,7.92,93.34,81.6,87.58,96.08,88.63,94.51,4.9,18.58,14.94,345.0,18.57,15.0
1,7.69,10.67,7.38,8.85,9.26,10.95,85.29,82.58,85.78,92.55,90.59,94.51,15.68,19.48,16.6,12.97,17.33,9.0
1,6.6,11.1,13.32,10.38,12.43,15.9,85.98,67.5,60.41,94.12,76.08,70.98,15.42,25.26,32.04,8.11,13.47,12.41
1,6.17,8.32,9.71,6.41,11.4,12.29,89.33,69.43,77.1,94.9,76.86,86.27,11.98,20.92,21.36,14.48,10.24,11.49
