tone,weather,b,b_chin,b_cheek,s,s_chin,s_cheek,h,h_chin,h_cheek
cool,summer,11.21,13.69,12.6,15.61,22.17,18.8,29.19,25.53,25.91
cool,summer,8.84,7.17,7.45,17.81,15.91,16.67,15.38,12.0,11.35
cool,summer,-3.3,-3.04,-5.43,7.42,8.26,7.76,321.18,325.26,309.47
cool,summer,3.22,3.81,3.07,11.31,10.91,11.72,0.0,5.0,357.86
cool,summer,0.22,4.52,1.6,2.49,10.86,7.17,350.0,10.0,356.47
cool,summer,2.08,5.83,4.4,4.93,11.0,9.52,10.91,21.82,15.0
cool,summer,-2.21,5.09,0.31,11.22,19.08,14.5,332.73,1.82,345.52
cool,summer,-1.94,1.35,-0.2,9.17,14.72,14.43,333.0,349.66,343.45
cool,summer,1.39,1.29,1.84,8.26,9.57,11.3,353.68,351.82,353.08
cool,summer,4.23,6.31,7.72,10.59,13.91,17.33,7.2,11.25,10.77
cool,summer,5.88,4.66,4.12,17.67,15.7,17.27,3.16,0.0,356.84
cool,summer,7.29,7.32,6.17,15.87,18.88,14.68,9.0,3.83,6.49
cool,summer,6.36,5.19,6.38,13.58,10.34,13.69,10.91,15.0,10.91
cool,summer,0.37,7.33,4.15,6.55,15.61,11.44,348.0,11.35,4.44
cool,summer,1.13,4.26,6.18,11.76,15.34,18.4,351.0,4.8,10.0
cool,summer,8.72,9.34,7.53,16.81,18.78,15.19,15.38,13.95,13.33
cool,summer,1.95,7.6,5.16,5.63,15.07,11.71,4.62,16.36,11.54
cool,summer,8.29,6.36,6.57,19.21,18.52,16.99,12.31,6.86,8.57
cool,summer,1.65,6.51,4.39,9.05,15.45,13.48,354.29,8.33,1.94
cool,summer,0.2,0.82,0.11,10.71,17.78,12.06,345.71,346.88,345.0
cool,summer,1.23,3.78,2.76,10.88,13.89,14.51,351.43,2.4,355.71
cool,summer,-1.8,4.53,0.29,6.69,12.3,8.7,331.76,4.0,346.36
cool,summer,3.07,4.81,0.55,11.62,13.17,9.72,357.86,3.75,347.5
